TagName,Count,Description
"arrays","383457","An array is an ordered linear data structure consisting of a collection of elements (values, variables, or references), each identified by one or more indexes. When asking about specific variants of arrays, use these related tags instead: [vector], [arraylist], [matrix]. When using this tag, in a question that is specific to a programming language, tag the question with the programming language being used."
"c","374013","C is a general-purpose programming language used for system programming (OS and embedded), libraries, games and cross-platform. This tag should be used with general questions concerning the C language, as defined in the ISO 9899 standard (the latest version, 9899:2018, unless otherwise specified — also tag version-specific requests with c89, c99, c11, etc). C is distinct from C++ and it should not be combined with the C++ tag absent a rational reason."
"asp.net","366757","ASP.NET is a Microsoft web application development framework that allows programmers to build dynamic web sites, web applications and web services. It is useful to use this tag in conjunction with the project type tag e.g. [asp.net-mvc], [asp.net-webforms], or [asp.net-web-api]. Do NOT use this tag for questions about ASP.NET Core - use [asp.net-core] instead."
"reactjs","363796","React is a JavaScript library for building user interfaces. It uses a declarative, component-based paradigm and aims to be both efficient and flexible."
"json","334076","JSON (JavaScript Object Notation) is a serializable data interchange format intended to be machine and human readable. Do not use this tag for native JavaScript objects or JavaScript object literals. Before you ask a question, validate your JSON using a JSON validator such as JSONLint (https://jsonlint.com)."
"ruby-on-rails","330527","Ruby on Rails is an open source full-stack web application framework written in Ruby. It follows the popular MVC framework model and is known for its ""convention over configuration"" approach to application development."
".net","315548","Do NOT use for questions about .NET Core - use [.net-core] instead. The .NET framework is a software framework designed mainly for the Microsoft Windows operating system. It includes an implementation of the Base Class Library, Common Language Runtime (commonly referred to as CLR), Common Type System (commonly referred to as CTS) and Dynamic Language Runtime. It supports many programming languages, including C#, VB.NET, F# and C++/CLI."
"sql-server","314787","Microsoft SQL Server is a relational database management system (RDBMS). Use this tag for all Microsoft SQL Server editions including Compact, Express, Azure, Fast-track, APS (formerly PDW) and Azure SQL DW. Do not use this tag for other types of DBMS (MySQL, PostgreSQL, Oracle, etc.). Do not use this tag for issues on software and mobile development, unless it is directly related to the database."
"swift","308964","Swift is a general-purpose programming language developed by Apple Inc first released in 2014 for its platforms and Linux. Swift is open-source. Use the tag only for questions about language features, or requiring code in Swift. Use the tags [ios], [ipados], [macos], [watch-os], [tvos], [swiftui], [cocoa-touch], and [cocoa] for (language-agnostic) questions about the platforms or frameworks."
"python-3.x","305821","USE ONLY IF YOUR QUESTION IS VERSION-SPECIFIC. For questions about Python programming that are specific to version 3+ of the language. Use the more generic [python] tag on all Python questions. Use the [python-2.x] tags for Python 2 questions."
"objective-c","292237","This tag should be used only on questions that are about Objective-C features or depend on code in the language. The tags [cocoa] and [cocoa-touch] should be used to ask about Apple's frameworks or classes. Use the related tags [ios], [macos], [apple-watch] and [tvos] for issues specific to those platforms."
"django","284652","Django is an open-source server-side web application framework written in Python. It is designed to reduce the effort required to create complex data-driven websites and web applications, with a special focus on less code, no-redundancy and being more explicit than implicit."
"angular","271386","Questions about Angular (not to be confused with AngularJS), the web framework from Google. Use this tag for Angular questions which are not specific to an individual version. For the older AngularJS (1.x) web framework, use the AngularJS tag."
"angularjs","262336","Use for questions about AngularJS (1.x), the open-source JavaScript framework. Do NOT use this tag for Angular 2 or later versions; instead, use the [angular] tag."
"excel","258253","Only for questions on programming against Excel objects or files, or complex formula development. You may combine the Excel tag with VBA, VSTO, C#, VB.NET, PowerShell, OLE automation, and other programming related tags and questions if applicable.  General help regarding Excel for single worksheet functions is available at Super User (http://superuser.com/)."
"regex","247534","Regular expressions provide a declarative language to match patterns within strings. They are commonly used for string validation, parsing, and transformation. Because regular expressions are not fully standardized, all questions with this tag should also include a tag specifying the applicable programming language or tool. Do not post questions asking for an explanation of what a symbol means or what a particular regular expression will match."
"pandas","232465","Pandas is a Python library for data manipulation and analysis, e.g. dataframes, multidimensional time series and cross-sectional datasets commonly found in statistics, experimental science results, econometrics, or finance. Pandas is one of the main data science libraries in Python."
"ruby","222821","Ruby is a multi-platform open-source, dynamic object-oriented interpreted language. The [ruby] tag is for questions related to the Ruby language, including its syntax and its libraries. Ruby on Rails questions should be tagged with [ruby-on-rails]."
"iphone","221392","DO NOT use this tag unless you are addressing Apple's iPhone and/or iPod touch specifically. For questions not dependent on hardware, use the tag [ios]. More tags to consider are [xcode] (but only if the question is about the IDE itself), [swift], [objective-c] or [cocoa-touch] (but not [cocoa]). Please refrain from questions regarding the iTunes App Store or about iTunes Connect. If using C#, tag with [mono]."
"ajax","218741","AJAX (Asynchronous JavaScript and XML) is a technique for creating interactive website user interfaces without the traditional web page refresh or reload. It uses asynchronous data exchange between client and server to update displayed information and respond to user interactions seamlessly. Include additional tags for programming languages, libraries, frameworks, web browser, protocols and other environmental information."
"linux","212775","NOTICE: All Linux questions must be related to programming; those that aren't will be closed.  Use this tag only if your question relates to programming using Linux APIs or Linux-specific behavior, not just because you happen to run your code on Linux. If you need Linux support you can try https://unix.stackexchange.com or the specific Linux distribution's Stack Exchange site like https://askubuntu.com or https://elementaryos.stackexchange.com/"
"xml","206535","XML (Extensible Markup Language) is a structured document format defining text encoding rules. When using this tag include additional tags such as programming language, tool sets, XML technologies being used, and other tags describing the environment of the problem posted. XML flexibility lends to a wide variety of uses for human and machine data transfer so be specific as to tools and libraries. "
"asp.net-mvc","196929","The ASP.NET MVC Framework is an open source web application framework and tooling that implements a version of the model-view-controller (MVC) pattern tailored towards web applications and built upon an ASP.NET technology foundation."
"vba","196226","Visual Basic for Applications (VBA) is an event-driven, object-oriented programming language for writing macros, used for the entire Office suite as well as other applications. VBA is not equivalent to VB.NET, or VBS; if you're working in Visual Studio use [vb.net]. If your question is specifically about programming any MS Office application, also use the appropriate tag: [excel], [ms-access], [ms-word], [outlook], or [ms-project]."
"spring","193170","The Spring Framework is an open source framework for application development on the Java platform. At its core is rich support for component-based architectures, and it currently has over twenty highly integrated modules."
"laravel","187791","The Laravel framework is an open-sourced PHP web framework that allows developers to create dynamic and scalable web applications. The source code of Laravel is hosted on GitHub and released under the MIT license."
"database","184507","A database is an organized collection of data. It is the collection of schemas, tables, queries, reports, views, and other objects. The data are typically organized to model aspects of reality in a way that supports processes requiring information.  Use this tag if you have questions about designing a database. If it is about a particular database management system, (e.g., MySQL), please use that tag instead."
"wordpress","181862","This tag is for programming-specific questions about the WordPress content management system. Off-topic questions include those about theme development, WordPress administration, management best practices, server configuration, etc. These are best asked on the dedicated WordPress Development  Stack Exchange site (https://wordpress.stackexchange.com)."
"typescript","173531","TypeScript is a typed superset of JavaScript that transpiles to plain JavaScript. It adds optional types, classes, interfaces, and modules to JavaScript. This tag is for questions specific to TypeScript. It is not used for general JavaScript questions."
"string","172197","A string is a finite sequence of symbols, commonly used for text, though sometimes for arbitrary data."
"wpf","164452","Windows Presentation Foundation, or WPF, is a subsystem for rendering user interfaces in Windows-based applications."
"mongodb","158269","MongoDB is a scalable, high-performance, open source, document-oriented NoSQL database. It supports a large number of languages and application development platforms. Questions about server administration can be asked on https://dba.stackexchange.com."
"windows","155458","Writing software specific to the Microsoft Windows operating system: APIs, behaviors, etc. GENERAL WINDOWS SUPPORT IS OFF-TOPIC. Support questions may be asked on https://superuser.com"
"xcode","153652","Xcode is Apple's integrated development environment (IDE). USAGE NOTE: Use this tag only for questions about the Xcode IDE itself, and not for general Mac or iOS programming topics. Use [cocoa] for Mac programming questions, and [cocoa-touch] or [iOS] or [Swift] for iOS programming questions."
"postgresql","149731","PostgreSQL is an open-source, relational database management system (RDBMS) available for all major platforms including Linux, UNIX, Windows and OS X. Mention your version of Postgres when asking questions. Consider dba.stackexchange.com for questions concerning administration or advanced features."
"bash","142086","This tag is for questions about scripts written for the Bash command shell.  For shell scripts with syntax or other errors, please check them at https://shellcheck.net before posting here.  Questions about interactive use of Bash are more likely to be on-topic on Super User than on Stack Overflow."
"oracle","140113","Oracle Database is a Multi-Model Database Management System created by Oracle Corporation. Do NOT use this tag for other products owned by Oracle, such as Java and MySQL."
"git","139530","Git is an open-source distributed version control system (DVCS). Use this tag for questions related to Git usage and workflows. DO NOT USE the [github] tag for Git-related issues simply because a repository happens to be hosted on GitHub. Also, do not use this tag for general programming questions that happen to involve a Git repository. "
"vb.net","136327","Visual Basic.NET (VB.NET) is a multi-paradigm, managed, type-safe, object-oriented computer programming language. Along with C# and F#, it is one of the main languages targeting the .NET Framework. VB.NET can be viewed as an evolution of Microsoft's Visual Basic 6 (VB6) but implemented on the Microsoft .NET Framework. DO NOT USE this tag for VB6, VBA or VBScript questions."
"multithreading","133213","For questions regarding multi-threading, the ability of a computer or a program to perform work concurrently or asynchronously by utilizing multiple concurrent streams of execution (generally referred to as threads)."
"amazon-web-services","130922","Amazon Web Services (AWS) is a public-cloud: IaaS (Infrastructure as a Service) and SaaS (Software as a Service) provided by Amazon. Questions about programming and architecture are on topic. General server help can be obtained at https://serverfault.com. The AWS tag is rarely used alone and will usually be used with other tags to more clearly define the topic of the question."
"list","126178","The list tag may refer to: a linked list (an ordered set of nodes, each referencing its successor), or a form of dynamic array. Not to be used for HTML lists, use [html-lists] instead."
"eclipse","123348","Eclipse is an open source IDE and platform for building applications. There is a wide variety of plugins for various programming languages and other development-oriented tools (such as modeling, database browsing, etc.). This tag should only be used for questions specifically about the Eclipse IDE or platform, not for generalized (Java, etc.) programming topics."
"firebase","123151","Firebase is a serverless platform for unified development of applications for mobile devices and for the web."
"spring-boot","117360","Spring Boot is a framework that allows to easily create Spring-powered, production-grade applications and services with the absolute minimum fuss. It takes an opinionated view of the Spring platform designed to work for new and experienced users of Spring."
"flutter","116290","Flutter is an open-source UI software development kit / framework created by Google. Flutter apps are written in the Dart language. It is used to develop cross platform applications for Android, iOS, Linux, Mac, Windows, Google Fuchsia, and the web from a single codebase. Flutter was released in May 2017. Largest open-source platform built using UI elements."
"azure","114510","Microsoft Azure is a Platform as a Service and Infrastructure as a Service cloud computing platform. Use this tag for programming questions concerning Azure. General server help can be obtained at Super User or Server Fault."
"dataframe","112588","A data frame is a 2D tabular data structure. Usually, it contains data where rows are observations and columns are variables and are allowed to be of different types (as distinct from an array or matrix). While ""data frame"" or ""dataframe"" is the term used for this concept in several languages (R, Apache Spark, deedle, Maple, the pandas library in Python and the DataFrames library in Julia), ""table"" is the term used in MATLAB and SQL. "
"algorithm","112525","An algorithm is a sequence of well-defined steps that defines an abstract solution to a problem. Use this tag when your issue is related to algorithm design."
"react-native","112267","React Native is a JavaScript library used to build native mobile apps using React. The focus of React Native is on developer efficiency across all the platforms you care about - learn once, write anywhere."
"macos","110702","macOS (formerly known as OS X or Mac OS X) is the desktop operating system from Apple, found on Macintosh computers.  Use this tag only if your question relates to using macOS APIs or macOS-specific behavior, not because you happen to run your code on macOS. Questions relating to using or troubleshooting macOS are off-topic and belong in the Ask Different community instead."
"docker","109974","Docker is a tool to build and run containers. Questions concerning Dockerfiles, Docker Compose, and architecture are accepted, but Stack Overflow questions must be programming-related. Questions about running Docker in production may find better responses on Server Fault (https://serverfault.com). "
"forms","109177","A form is essentially a container that can be used to hold any amount of any subset of several types of data. HTML forms are used to pass data to a server. VB and C# forms are the windows used to interact with the user."
"image","108437","The image tag is for questions related to the loading, formatting, saving, compression, and display of images in the context of source code. This tag should also be used for assistance using various image libraries. Questions about specific image formats should include the tags for those formats. Include tags to mention if the question relates to format conversion, processing, etc."
"scala","107506","Scala is a general-purpose programming language principally targeting the Java Virtual Machine. Designed to express common programming patterns in a concise, elegant, and type-safe way, it fuses both imperative and functional programming styles. Its key features are: an advanced static type system with type inference; function types; pattern-matching; implicit parameters and conversions; operator overloading; full interoperability with Java; concurrency"
"visual-studio","107151","Use this tag if you have a specific question about Visual Studio features and functionality. DO NOT use this tag on questions regarding code which merely happened to be written in Visual Studio.  Consider tagging the exact technology area your question links to and also tagging a more specific version of Visual Studio. Please mention your exact VS version, edition, and update level in your question. DO NOT use this tag on questions regarding VS Code."
"twitter-bootstrap","101867","Bootstrap is a frontend framework designed to kick-start development of Web apps and sites. For questions related to a version of Bootstrap also use the specific version's tag from ""twitter-bootstrap-2"", ""twitter-bootstrap-3"",  ""bootstrap-4"" and ""bootstrap-5"" tags."
"function","100554","A function (also called a procedure, method, subroutine, or routine or macro) is a portion of code intended to carry out a single, specific task. Use this tag for questions which specifically involve creating or calling functions. For help implementing a function to perform a task, use [algorithm] or a task-specific tag instead. By creating function the logic can be isolated and can be called repeatedly."
"powershell","100212","PowerShell is a cross-platform command line and scripting utility from Microsoft. Use this tag for questions about writing and executing PowerShell scripts ONLY. Programming questions specific to the cross-platform version PowerShell Core (Windows, macOS, and Linux) should be tagged [powershell-core]. Questions about system administration should be asked on Super User or Server Fault."
"numpy","98805","NumPy is an extension of the Python language that adds support to large multidimensional arrays and matrixes, along with a large library of high-level mathematical functions for operations with these arrays. "
"api","97503","DO NOT USE. Use specific tags like [google-cloud-platform], [facebook], [amazon-web-services] instead or [api-design]  where applicable. Questions asking to recommend or find an API are off-topic."
"performance","96105","For questions pertaining to the measurement or improvement of code and application efficiency."
"python-2.7","95011","Python 2.7 is the last major version in the 2.x series, and is no longer maintained since January 1st 2020. Use the generic [python] tag on all Python questions. Do not add this tag simply to convey the version of Python you're using, unless the question concerns an issue specific to Python 2.7."
"winforms","94624","WinForms is the informal name given to Windows Forms, a GUI class library in the Microsoft .NET Framework and Mono. Questions in this tag should also be tagged with the target framework ([.net] or [mono]) and should ordinarily be tagged with a programming language tag."
"selenium","93975","Selenium is a popular open-source tool for automating web browsers. When using this tag, also include other tags for the specific components you are using, e.g. selenium-webdriver for the language bindings, selenium-ide, selenium-grid, etc."
"matlab","92339","MATLAB is a high-level language and interactive programming environment for numerical computation and visualization developed by MathWorks. Don’t use both the [matlab] and [octave] tags, unless the question is explicitly about the similarities or differences between the two. When using this tag, please mention the MATLAB release you're working with (e.g. R2017a)."
"sqlite","90641","SQLite is a software library that implements a self-contained, serverless, zero-configuration, transactional SQL database engine."
"apache","90471","Use this tag (along with an appropriate programming-language tag) for programming questions relating to the Apache HTTP Server. Do not use this tag for questions about other Apache Foundation products. Note that server configuration questions are usually a better fit on https://serverfault.com"
"vue.js","89937","Vue.js is an open-source, progressive JavaScript framework for building user interfaces that aims to be incrementally adoptable. Vue.js is mainly used for front-end development and requires an intermediate level of HTML and CSS. Vue.js questions are highly version specific and should always be tagged with [vuejs2] or [vuejs3] in addition to this tag."
"hibernate","89871","Hibernate is an object-relational mapping (ORM) library for the Java language enabling developers to utilize POJO-style domain models in their applications in ways extending well beyond Object/Relational Mapping."
"entity-framework","88292","Entity Framework is a LINQ-based object-database mapper for .NET. It supports change tracking, updates, and schema migrations for many databases. Please add a version-specific tag as well."
"rest","87510","REST (Representational State Transfer) is a style of software architecture for distributed hypermedia systems such as the World Wide Web. It has increased in popularity relative to RPC architectures such as SOAP due to the intrinsic de-coupling of client from server that comes from having a uniform interface between heterogeneous systems."
"loops","87113","Loops are a type of control flow structure in programming in which a series of statements may be executed repeatedly until some condition is met."
"shell","86230","The term 'shell' refers to a general class of text-based interactive command interpreters most often associated with the Unix & Linux operating systems.    For questions about shell scripting, please use a more specific tag such as 'bash', 'powershell' or 'ksh'. Without a specific tag, a portable (POSIX-compliant) solution should be assumed, though using 'posix' in addition or 'sh' instead is preferable."
"facebook","85651","Facebook Platform lets developers integrate their apps directly into the Facebook social networking service. Use this tag for questions which may arise when developing FOR Facebook. This tag is NOT for support questions about using the Facebook website or the official Facebook app. It is also NOT for questions of the “I want to implement a feature similar to what Facebook has” variety."
"android-studio","83639","Use for questions about using Android Studio, an official IDE by Google targeted at Android app development. Do NOT use for questions about programming for Android in general; instead, use the [android] tag."
"express","83430","Express.js is a minimal and flexible Node.js web application framework providing a robust set of features for building web applications."
"linq","83139","Language Integrated Query (LINQ) is a Microsoft .NET Framework component that adds native data querying capabilities to .NET languages. Please consider using more detailed tags when appropriate, for example [linq-to-sql], [linq-to-entities] / [entity-framework], or [plinq]"
"csv","82523","Comma-Separated Values or Character-Separated Values (CSV) is a standard ""flat file database"" (or spreadsheet-style) format for storing tabular data in plain text, with fields separated by a special character (comma, tab, etc). Rows are typically denoted by newline characters. Use for any delimited file formats, including tab delimited (TSV)"
"maven","82303","Apache Maven is a build automation and project management tool used primarily for Java projects. This tag is for questions that don't relate to a specific Maven version. Use the gradle tag instead for questions relating to Gradle."
"qt","81464","Qt is a cross-platform application development framework widely used for the development of application software that can be run on various software and hardware platforms with little or no change in the underlying codebase, while having the power and speed of native applications. Qt is available with both commercial and open source licenses."
"swing","79655","Swing is a user-interface toolkit in Java and is shipped with the standard Java SDK. It is contained within the package javax.swing."
"unit-testing","78834","Unit testing is a method by which individual units of source code are tested to determine if they are fit for use. "
"file","77262","A block of arbitrary information, or resource for storing information, accessible by the string-based name or path. Files are available to computer programs and are usually based on some kind of persistent storage."
"tensorflow","74630","TensorFlow is an open-source library and API designed for deep learning, written and maintained by Google. Use this tag with a language-specific tag ([python], [c++], [javascript], [r], etc.) for questions about using the API to solve machine learning problems. The programming languages that can be used with TensorFlow API vary, so you must specify the programming language. Please specify the application area such as [object-detection] as well."
"class","74259","A template for creating new objects that describes the common state(s) and behavior(s). NOT TO BE CONFUSED WITH CSS CLASSES. Use [css] instead."
"apache-spark","73210","Apache Spark is an open source distributed data processing engine written in Scala providing a unified API and distributed data sets to users for both batch and streaming processing. Use cases for Apache Spark often are related to machine/deep learning and graph processing. "
".htaccess","71217","Directory-level configuration file used by Apache web servers. Use this tag if and only if .htaccess content is directly involved in the topic. We know many people are using .htaccess, but kindly ask the members of the community to not use this tag, unless you know it is on-topic in your question. Also notice what the ""apache"" tag has to say about questions about _configuring_ Apache httpd and their potential off-topicness on stackoverflow"
"date","71152","A date is a reference to a particular day represented within a calendar system, and consists of year, month and day. Use for questions about creating, manipulating and storing date information. Use with any relevant language tags."
"sorting","71021","Sorting is the process of applying some order to a collection of items."
"symfony","70408","Symfony refers to both a PHP framework for building web applications as well as a set of components on which the framework is built.  This tag refers to the currently supported major versions 3.x, 4.x and 5.x. Alternatively you can specify an exact version using the respective tag. This tag should not be used for questions about Symfony 1.x. Please use the Symfony1 tag instead."
"tsql","69873","T-SQL (Transact Structured Query Language) is the extension of SQL functionality supported by Sybase ASE and Microsoft SQL Server. Do not use this tag for MySQL, PostgreSql, Oracle(Pl/SQL) related queries.   Please note that SQL code which is being written using LINQ will not also be the part of this tag. This tag specifically created for advanced SQL programming using Microsoft SQL Server."
"kotlin","69293","Kotlin is a high-level programming language developed by JetBrains. Use this tag when you're having problems with the Kotlin language and standard library. This tag is often used alongside additional tags for the different targets (JVM, JavaScript, native, etc.) and libraries/frameworks (Android, Spring, etc.) used by Kotlin developers, if the question relates specifically to those topics."
"google-chrome","68953","[google-chrome] is for questions related to development with Google Chrome, a web browser that uses the Blink rendering engine.  Warning! General support for the browser is off-topic: questions about using or configuring the browser should be posted on https://superuser.com. Chrome OS and Chromium are off-topic: questions about [google-chrome-os] or [chromium] should use those tags."
"codeigniter","68933","CodeIgniter is an Application Development Framework - a toolkit - for people who build web sites using PHP. Created by EllisLab, fostered by BCIT it is now a project of the CodeIgniter Foundation. The framework implements a modified version of the Model-View-Controller design pattern. Use this tag for questions about CodeIgniter classes, methods, functions, syntax, and use. There are two major versions: 3.x and 4.x, addressing different system requirements"
"dictionary","68499","A dictionary maps keys to values allowing efficient retrieval of values by keys. USE [map-function] TAG for mapping functions; and for geography, [maps]. "
"asp.net-core","67330","ASP.NET Core is a lean, composable, and cross-platform framework for building web and cloud applications. It is fully open-source on GitHub. ASP.NET Core apps can be run on Windows, Linux, or macOS."
"perl","66420","Perl is a procedural, high-level, general-purpose, dynamic programming language, known for its native support of regular expressions and string parsing capabilities. Please use this tag for questions about Perl in general. For things related to the new (but related) language Raku (formerly ""Perl 6""), please use the raku tag. For Perl-style regular expressions in other languages, use the regex tag, or, if they are based on the PCRE library, the pcre tag."
"opencv","65734","OpenCV (Open Source Computer Vision) is a library for real time computer vision. When using this tag, please add a language specific tag (python, c++, ...), if relevant."
"google-maps","64884","Google Maps is a desktop and mobile web mapping service application and technology provided by Google, offering satellite imagery, street maps, and Street View perspectives. Also supported are maps embedded on third-party websites via the Google Maps API, and a locator for urban businesses and other organizations in numerous countries around the world."
"dart","64644","Dart is a class-based, statically(& strongly)-typed programming language for building web and mobile applications. Dart compiles to modern JavaScript to run in the browser and compiles to native code to run on mobile platforms like Android and iOS. Dart also runs on the command-line for scripting and server-side apps."
"datetime","64492","A DateTime object in many programming languages describes a date and a time of day.  It can express either an instant in time or a position on a calendar, depending on the context in which it is used and the specific implementation.  This tag can be used for all date and time related issues."
"http","64132","Hypertext Transfer Protocol (HTTP) is an application level network protocol that is used for the transfer of content on the World Wide Web."
"validation","64061","Validation is used to check data to make sure it fits whatever required specifications are set for it.  Typically Validation is used in checking input data, and in verifying data before storage."
"sockets","63897","An endpoint of a bi-directional inter-process communication flow. This often refers to a process flow over a network connection, but by no means is limited to such. Not to be confused with WebSocket (a protocol) or other abstractions (e.g. socket.io)."
"for-loop","63804","A for loop is a control structure used by many programming languages to iterate over a range. It is a way of repeating statements a number of times until the loop ends. Depending on the language this may be over a range of integers, iterators, etc."
"uitableview","63690","UITableView is a class used for displaying and editing lists of information on iOS. A table view displays items in a single column. UITableView is a subclass of UIScrollView, which allows users to scroll through the table, although UITableView allows vertical scrolling only."
"matplotlib","63050","Matplotlib is a plotting library for Python which may be used interactively or embedded in stand-alone GUIs. Its compact ""pyplot"" interface is similar to the plotting functions of MATLAB®."
"unity3d","61851","Unity is a cross-platform game engine by Unity Technologies."
"cordova","61404","Apache Cordova (formerly PhoneGap) is a framework that allows developers to create cross-platform mobile applications using web technologies like HTML, JavaScript, and CSS."
"web-services","60176","A ""web service"" is a software system designed to support interoperable machine-to-machine interaction over the World Wide Web."
"object","59922","An object is any entity that can be manipulated by commands in a programming language. An object can be a value, a variable, a function, or a complex data-structure. In object-oriented programming, an object refers to an instance of a class."
"xaml","59413","Extensible Application Markup Language (XAML) is a declarative XML-based language used for  initializing structured values and objects in various frameworks. When a question is about the usage of XAML with a specific framework a tag for the framework should also be provided e.g. [wpf] (Windows Presentation Foundation),  [silverlight], [windows-phone], [windows-store-apps] (Windows 8 store apps), [win-universal-app], [xamarin.forms] or [workflow-foundation]"
"go","59344","Go is an open-source programming language. It is statically-typed, with a syntax loosely derived from C, adding automatic memory management, type safety, some dynamic typing capabilities, additional built-in types such as variable-length arrays (called slices) and key-value maps, and a large standard library."
"oop","58235","Object-oriented programming is a programming paradigm using ""objects"": an encapsulation consisting of data fields and methods together with their interactions. "
"android-layout","58202","A layout defines the visual structure for a user interface, such as the UI for an activity, fragment or app widget. "
"email","57290","Use this tag for questions involving code to send or receive email messages. Posting to ask why the emails you send are marked as spam is off-topic for Stack Overflow.  Questions about configuration of mail servers belong on Server Fault."
"spring-mvc","56668","A framework for building Java web applications based on the Model-View-Controller (MVC) pattern. It promotes flexible and decoupled code from the underlying view technologies."
"ubuntu","56248","GENERAL UBUNTU SUPPORT IS OFF-TOPIC. Support questions may be asked at https://askubuntu.com/. Ubuntu is a free desktop and server operating system based on Debian GNU/Linux. This tag is for programming questions specific to Ubuntu."
"ruby-on-rails-3","56086","Ruby on Rails is an open-source web development framework written in Ruby. Ruby on Rails follows the principle of convention over configuration, freeing you from having to re-invent things to stay productive. Use this tag only for Rails 3-specific questions, and also tag those questions [ruby-on-rails]."
"if-statement","55910","An ""if"" statement is a flow control structure in most programming languages that branches execution flow depending on a binary condition, generally evaluated at runtime. If statements are also commonly also called conditionals. When using this tag please also include an appropriate language tag, such as e.g. ""java"" if your question is language-specific."
"c++11","54990","Use this tag for code that must compile as C++11 (not using any features introduced in C++14 or later)."
"ms-access","54803","Microsoft Access, also known as Microsoft Office Access, is an application development and database development tool from Microsoft. It combines the Microsoft Jet/ACE Database Engine with a graphical user interface and software-development tools. Other database engines, such as SQL Server, can also be used as a database server for Access applications.  "
"parsing","54567","Parsing refers to breaking an artifact into its constituent elements and capturing the relationship between those elements. This tag isn't for questions about the self hosted Parse Platform (use the [parse-platform] tag) or parse errors in a particular programming language (use the appropriate language tag instead)."
